1.  gpio_serial_link_1[0] (driver: <none>)
2.  gpio_serial_link_1[10] (driver: <none>)
3.  gpio_serial_link_1[11] (driver: <none>)
4.  gpio_serial_link_1[12] (driver: <none>)
5.  gpio_serial_link_1[13] (driver: <none>)
6.  gpio_serial_link_1[1] (driver: <none>)
7.  gpio_serial_link_1[2] (driver: <none>)
8.  gpio_serial_link_1[3] (driver: <none>)
9.  gpio_serial_link_1[4] (driver: <none>)
10.  gpio_serial_link_1[5] (driver: <none>)
11.  gpio_serial_link_1[6] (driver: <none>)
12.  gpio_serial_link_1[7] (driver: <none>)
13.  gpio_serial_link_1[8] (driver: <none>)
14.  gpio_serial_link_1[9] (driver: <none>)
15.  gpio_serial_link_2[0] (driver: <none>)
16.  gpio_serial_link_2[10] (driver: <none>)
17.  gpio_serial_link_2[11] (driver: <none>)
18.  gpio_serial_link_2[12] (driver: <none>)
19.  gpio_serial_link_2[1] (driver: <none>)
20.  gpio_serial_link_2[2] (driver: <none>)
21.  gpio_serial_link_2[3] (driver: <none>)
22.  gpio_serial_link_2[4] (driver: <none>)
23.  gpio_serial_link_2[5] (driver: <none>)
24.  gpio_serial_link_2[6] (driver: <none>)
25.  gpio_serial_link_2[7] (driver: <none>)
26.  gpio_serial_link_2[8] (driver: <none>)
27.  gpio_serial_link_2[9] (driver: <none>)
28.  mprj_io_loader_clock (driver: <none>)
29.  mprj_io_loader_data_1 (driver: <none>)
30.  mprj_io_loader_data_2 (driver: <none>)
31.  mprj_io_loader_resetn (driver: <none>)
32.  mprj_io_loader_strobe (driver: <none>)
33.  mprj_io_zero[0] (driver: <none>)
34.  mprj_io_zero[1] (driver: <none>)
35.  mprj_io_zero[2] (driver: <none>)
36.  mprj_io_zero[3] (driver: <none>)
37.  mprj_io_zero[4] (driver: <none>)
38.  mprj_io_zero[5] (driver: <none>)
39.  mprj_io_zero[6] (driver: <none>)
40.  mprj_io_zero[7] (driver: <none>)
41.  porb_l (driver: <none>)
42.  user_io_in[0] (driver: <none>)
43.  user_io_in[10] (driver: <none>)
44.  user_io_in[11] (driver: <none>)
45.  user_io_in[12] (driver: <none>)
46.  user_io_in[13] (driver: <none>)
